time0,time1,time2,time4,time6,time12,time24,time48,time72
6.194944,6.238072,6.402641,6.183894,6.534951,6.154709,6.218357,6.624051,6.682904
7.194228,7.756047,7.708115,8.112537,8.51506,8.373168,8.525073,8.699426,8.580921
7.855434,7.234006,6.907005,7.143397,6.669688,6.910085,6.808179,6.573059,6.937219
6.417459,6.343525,6.406946,6.312026,6.933234,6.28268,6.349361,7.444652,7.831264
12.052027,11.909525,11.601064,11.82202,11.615366,12.245092,11.604733,11.72981,11.852868
10.120582,10.550465,10.101052,9.735222,9.539744,9.837199,9.733975,9.427177,9.778703
6.168453,6.149293,6.141579,6.186678,6.649937,6.153623,6.404546,6.644413,6.594702
7.784399,8.586127,9.921678,9.647554,8.200508,9.881316,8.792188,8.52476,8.081114
8.961322,8.779047,8.597184,8.951004,8.02232,9.196568,9.008684,8.168153,8.354602
7.64654,7.718462,7.92032,8.999233,8.004803,9.565931,8.052942,8.094234,7.640479
6.981783,7.271111,7.364317,8.339,6.704875,9.799624,8.762846,6.355906,6.394823
6.386906,6.422972,6.347938,6.510958,6.461436,6.492088,6.395824,6.509823,6.366561
10.542102,10.023595,9.88873,10.749737,10.467981,10.699206,10.578456,10.688088,10.667638
6.193479,6.631381,8.440737,7.148297,7.079008,6.964056,6.652785,7.480771,7.150171
7.049687,7.211805,7.763895,7.067781,6.669152,6.865062,6.663063,6.494345,6.66697
6.424923,6.107005,6.199469,6.066197,6.567586,6.256155,6.138575,6.712564,7.101284
8.084865,8.524275,8.767299,8.658613,8.383856,8.582254,8.496019,8.320855,8.269083
6.632404,6.584356,6.572447,6.939372,6.804443,7.105559,6.997032,6.866889,6.678715
6.597766,6.589623,6.668909,6.574746,7.09934,6.662004,6.735625,7.259871,7.418736
8.414479,8.965999,9.600838,7.290644,6.740738,7.055439,6.989161,6.710509,6.765223
9.114014,9.056815,8.620984,8.661199,9.164872,8.618679,8.604604,8.882134,9.146634
6.255903,6.253157,6.279219,6.342074,6.545867,6.345263,6.238699,6.519876,6.715955
7.973743,8.261604,8.145335,7.631051,9.325715,7.899778,8.853671,8.918,9.475044
7.484384,8.436149,8.960302,8.256302,9.238707,8.337687,9.022424,9.269505,10.381619
9.98776,9.755385,9.201004,9.040576,8.402041,9.428417,8.856306,7.866173,7.808571
8.325745,8.26701,9.209904,9.751287,7.864099,9.681956,8.215485,7.935587,7.621563
12.637471,12.446091,11.96714,12.039662,11.292655,11.593526,11.576501,11.048159,10.903473
6.394055,6.279144,6.487563,6.509376,6.866084,6.537317,6.576774,8.518274,9.161676
10.069433,11.255432,12.297772,10.23022,9.514144,9.886173,9.627065,9.090601,9.761616
6.485452,6.579829,6.475963,6.440893,6.654021,6.474203,6.447564,6.786572,7.361278
10.223044,9.995041,9.630959,10.617124,9.251344,10.627835,9.828404,9.116434,8.977989
6.620017,6.556902,6.860841,6.785023,6.740992,6.695679,6.589651,7.645358,7.769617
6.530342,6.473435,6.754653,6.809784,7.108933,6.990336,6.925935,7.23958,7.295902
9.556099,11.460489,11.194803,9.851121,10.870072,10.29182,10.512637,11.41855,12.3039
8.507632,8.051968,8.184849,8.079146,7.865192,8.263724,8.217598,7.935207,8.293722
6.140227,6.22138,6.061057,6.237918,6.563508,6.274221,6.174222,7.628044,7.538711
6.75168,6.872865,7.158693,7.096637,7.584533,7.07844,7.366178,7.398573,7.649129
9.105135,9.200831,9.231702,9.295252,8.989867,8.458713,8.597763,9.667735,9.941767
7.350594,7.454436,7.488777,8.074807,8.789397,8.418232,8.795256,8.812155,9.064651
13.937329,13.217469,13.150827,12.919112,12.242403,12.480012,12.066255,12.263646,12.579536
7.201446,7.544945,7.933139,7.820936,9.00947,8.269502,8.880108,8.67544,8.66411
